Product,Price
"Carcasa modulara Gewiss GW27004, clasa izolatie II, IP40, IK07","12 , 99 Lei"
Suport de sina DIN Sonoff DR,"12 , 99 Lei"
"Suport pentru telecomanda SMART HOME SONOFF, RM433-BASE","13 , 99 Lei"
"Suport de perete sau baza pentru senzor de miscare Sonoff, SON-KIE-BASE","13 , 99 Lei"
Carcasa rezistenta la apa pentru SONOFF,"15 , 32 Lei"
"Telecomanda pentru controlul dizpozitivelor conectate la Sonoff Birdge, SmartWise SON-KIE-RF4CR","15 , 99 Lei"
"Filtru HEPA pentru robot de aspirare RV-L11-A, set 2 bucati, RVPD1-2 IMOU","18 , 99 Lei"
"Senzor de temperatura pentru exterior, cu mufa RJ9, compatibil relee SonOff, DS18B20-RJ9","23 , 99 Lei"
"Adaptor cu posibilitate montare in sina DIN pentru Shelly 1 si Shelly 1PM, DIN-SHE1-MINI","26 , 99 Lei"
"Contact magnetic wireless pentru usa sau fereastra, SMART, Sonoff DW2 WIFI","29 , 99 Lei"
"Perie laterala pentru robot de aspirare RV-L11-A, set 2 bucati, RVPC1-2 IMOU","29 , 99 Lei"
"Shelly Bypass, accesoriu pentru Shelly 1L si Shelly Dimmer 2, ALL-KIE-BYP","29 , 99 Lei"
Senzor de temperatura si umiditate SONOFF,"29 , 99 Lei"
"Telecomanda SONOFF RM433, 8 butoane, pentru smart home","31 , 99 Lei"
"Laveta mop reutilizabila pentru robot de aspirare RV-L11-A, set 2 bucati, RVPF1-2 IMOU","34 , 99 Lei"
"Releu inteligent WiFi, 2300W, 10A, Sonoff SONOFF BASIC R2","34 , 99 Lei"
"Perie principala pentru robot de aspirare RV-L11-A, RVPB1-1 IMOU","34 , 99 Lei"
"Bec inteligent Imou B5, 16 milioane de culori, 2.4G Wi-Fi, Control din aplicatie, Compatibilitate cu Alexa, Google Assistant, CL1B-5-E27","36 , 99 Lei"
"Intrerupator inteligent 1 canal SmartWise SMW-KAP-RF1, wireless, 433MHz, compatibil cu intrerupatoarele Sonoff T1, T2, T3","37 , 99 Lei"
"Intrerupator inteligent 3 canale SmartWise SMW-KAP-RF3, wireless, 433MHz, compatibil cu intrerupatoare Sonoff T1, T2, T3","39 , 99 Lei"
"Adaptor pentru DIN compatibil Shelly 2.5 si Shelly EM, DIN-SHE25-MINI","39 , 99 Lei"
"Releu wireless Sonoff MINI R2, 10A, compatibil cu Google Home, Alexa, SONOFF MINI R2","39 , 99 Lei"
"BEC Smart Wi-fi Ezviz LB1 CS-HAL-LB1-LWAW, Culoare calda 2700K, 806Lm, Control Vocal din telefon, Dimabil","39 , 99 Lei"
"Releu wireless 10Ah compatibil Tuya, Gosund SW3","41 , 99 Lei"
"Releu Smart, cu Wi-Fi, 2400W, 10A, compatibil cu aplicatia mobila Tuya, Google, Alexa, Safer REL1TU","44 , 99 Lei"
Senzor de miscare cu transmisie Wireless Radio 433 Mhz SONOFF-PIR3-RF,"44 , 99 Lei"
"Adaptor sina DIN pentru controlerul inteligent Shelly Dimmer si Shelly Dimmer 2, DIN-DIM-MINI","44 , 99 Lei"
"Priza Wifi inteligenta, control WiFi din aplicatia Tuya, NEO NAS-WR10W6","44 , 99 Lei"
"Adaptor cu posibilitate montare pe sina DIN pentru Shelly PLUS 1 si Shelly PLUS 1PM, DIN-PLUS -MINI","44 , 99 Lei"
"Senzor Temperatura Umiditate Xiaomi Mi Monitor 2, alb NUN4126GL","44 , 99 Lei"
"Releu inteligent WiFi, 2300W, 10A, 433 Mhz, Sonoff, SONOFF RF R2","45 , 99 Lei"
"Senzor de temperatura si umiditate compatibil cu HUB Xiaomi si Aqara, Zigbee, YTC4042GL","48 , 99 Lei"
"Tag de proximitate Ezviz, functie anti-copiere, 13.8-14.4MHz, viteza comunicare 106kbps, material ABS, CS-DL-IC-CPU-R200 (GR)","48 , 99 Lei"
"Bec Tp-Link, Wi-Fi, inteligent, reglare intensitate lumina, L510E","49 , 61 Lei"
"Lampa de veghe Xiaomi Motion Activated Night Light 2, 3Lm/25Lm, lumina alba, MUE4115GL","49 , 99 Lei"
"Pachet Sonoff Basic cu carcasa IP 66, SONOFFBASICIP66","49 , 99 Lei"
"Intrerupator inteligent compatibil cu Hubul Xiaomi, Mi Wireless Switch, YTC4040GL","49 , 99 Lei"
"Set 2 becuri inteligente RGB Gosund WB4 2pack, Wi-Fi, Tuya, Alexa, Google Home, Dimabile, 800 Lm, Temperatura reglabila, WB4-2pack","49 , 99 Lei"
Sonoff Dimmer Switch D1,"51 , 99 Lei"
"Adaptor pentru DIN compatibil Shelly 1 si Shelly 1PM cu posibilitate montare ALL-KIE-TEMP, DIN-SHE1TEMP-STD","52 , 99 Lei"
"Bec Tp-Link, Wi-Fi, inteligent, Multicolor L530E","53 , 99 Lei"
"Contact magnetic / senzor pentru usa sau geam, Wireless Zigbee, Xiaomi ,YTC4039GL","54 , 00 Lei"
"Senzor de inundatie compatibil Sonoff RF Bridge, comunicare wireless 433 MHz, functionare cu baterie, SMW-KIE-WAT","54 , 99 Lei"
"Priza inteligenta, Wi-Fi, TUYA, Compatibil cu Alexa, Google Home, Yandex Alice, Avatto, OT02-EU-W","54 , 99 Lei"
"Buton de panica wireless, protocol Zigbee, notificari push in aplicatie, indicator stare baterie, montare usoara, IMOU IOT-ZE1-EU","58 , 50 Lei"
"Bec inteliget ALB cald/rece, XIAOMI Mi Smart LED Bulb White 8W/E27 GPX4026GL","58 , 99 Lei"
"Detector fum Smartwise SMOPRO-RF-R2, 433MHz","59 , 99 Lei"
"Led Wifi RGB 8W, 6500K+RGB compatibil Tuya dulie E27 Gosund WB4","59 , 99 Lei"
"Priza inteligenta, Wi-Fi, control vocal, 2500 W, 10 A, Imou, CE1","59 , 99 Lei"
Releu Wireless doua canale 10A SONOFF DUAL R3,"61 , 99 Lei"
"Senzor Smart detectie scurgeri de apa, Wireless, protocol Zigbee, notificari push in aplicatie, consum redus, IP66, IMOU IOT-ZL1-EU","61 , 99 Lei"
"Transformator de curent, Shelly, 50A, pentru Shelly EM, ALL-KIE-SC50","62 , 99 Lei"
"Led Wifi pentru Smart Home, 16 milioane de culori, temperatura 6500K+RGB","64 , 99 Lei"
"Buton Wireless pentru Sonerii Honywell DCxxx, pana la 200m, 868Mhz, IP55,DCP311","64 , 99 Lei"
"Priza Wifi 10A cu monitorizare consum, control WiFi din aplicatia Tuya Gosund EP2","69 , 99 Lei"
"Adaptor pentru sina DIN compatibil Shelly 2.5 si Shelly EM, DIN-SHE25-DUP","69 , 99 Lei"
Modul wifi universal Shelly UNI,"69 , 99 Lei"
Extensie 5 metri Banda Led RGB pentru seria Sonoff L1,"69 , 99 Lei"
"Set 6 saci pentru robot de aspirare RV-L11-A, RVPA1-6 IMOU","69 , 99 Lei"
"Priza Wifi cu temporizare si monitorizare consum, control WiFi din aplicatia Tuya","69 , 99 Lei"
"Adaptor dublu cu posibilitate montare pe sina DIN, pentru Shelly PLUS 1 si Shelly PLUS 1PM, DIN-PLUS-DUP","69 , 99 Lei"
"Adaptor dublu cu sina DIN pentru Shelly Dimmer si Shelly Dimmer 2, DIN-DIM-DUP","69 , 99 Lei"
"Releu inteligent Ezviz CS-T35, Wi-Fi 2.4 GHz, 1 canal","69 , 99 Lei"
"Senzor / Contact magnetic wireless, 55mA, cu Wi-Fi, compatibil cu Tuya Smart, Google, Alexa, Safer MC-TU","69 , 99 Lei"
"Adaptor dublu pentru DIN compatibil cu releele Shelly 1 si Shelly 1PM, DIN-SHE1-DUP","69 , 99 Lei"
Bypass dimmer Fibaro FGB-002 Dimmer Bypass 2,"69 , 99 Lei"
"Senzor de usa / fereastra cu magnet, Wireless, protocol Zigbee, alarma de declansare, IMOU IOT-ZD1-EU","71 , 49 Lei"
"Senzor de temperatura si umiditate, Wireless, protocol Zigbee, afisaj LCD, notificari push, alarma, IMOU IOT-ZTM1-EU","71 , 99 Lei"
"Laveta mop pentru robot de aspirare RV-L11-A, set 30 bucati, RVPE1-30 IMOU","72 , 99 Lei"
"Priza Smart, cu Wi-Fi, 2300W, 240V, compatibila cu Tuya Smart, Alexa, Google, Safer SOK2USBTU","72 , 99 Lei"
"Range Extender Wireless Xiaomi Mi Pro, 300 Mbps, 2 antene, negru, DVB4235GL","72 , 99 Lei"
"Bridge Wireless SonOff pentru dispozitive de 433 mhz, Wifi 802.11, eWeLink, SONOFF-BRIDGE-RF-R2","74 , 99 Lei"
"Extensie banda LED RGB, 5 metri, pentru SONOFF L1, RGB 5050","75 , 99 Lei"
"Senzor de miscare Wireless Xiaomi Mi Motion Sensor, Alb, YTC4041GL","75 , 99 Lei"
"Bec Mi Smart LED Bulb Essential Xiaomi (Alb + Color), 9W, Wifi, 950 lm, control prin aplicatie, GPX4021GL","77 , 99 Lei"
"Senzor de lumina integrabil in aplicatia Smart Home, Xiaomi MI Light YTC4043GL","79 , 99 Lei"
"Priza Smart T30 Ezviz, Wi-Fi 2.4GHz, Control prin aplicatia mobila, Compatibil cu Google Assistant, Alexa, material ignifug, CS-T30-10B-EU","79 , 99 Lei"
"Releu inteligent 1 canal 8A, Shelly Plus 1PM MINI GEN3, 240VAC, Wi-Fi, Bluetooth","79 , 99 Lei"
Bec LED RGB dimabil Wifi Shelly Duo RGBW (E27),"79 , 99 Lei"
